department,scheme
Adi Dravidar and Tribal Welfare,Tribal scheme
Agriculture and Farmer Welfare,"CM Scheme: ""Manuyir Kaathu Manuyir Kappom"" (2025–26)"
Agriculture and Farmer Welfare,Green manure seed distribution
Agriculture and Farmer Welfare,Earthworm (Vermicompost support)
Agriculture and Farmer Welfare,Soil Health Card
Agriculture and Farmer Welfare,Drip irrigation (under PMKSY – Per Drop More Crop)
Agriculture and Farmer Welfare,Pest Resistance promotion
Agriculture and Farmer Welfare,Agroforestry
Agriculture and Farmer Welfare,Natural Farming (Govt. of India-supported)
Agriculture and Farmer Welfare,"Biofertilizer Promotion: Distributed through State Agricultural Development Scheme (SADS) with focus on soil rejuvenation, liquid biofertilizers, and region-specific microbial inputs."
Agriculture and Farmer Welfare,E-Vaadagai app – mechanization rental service
Agriculture and Farmer Welfare,Cross-district farmer lending model
Agriculture and Farmer Welfare,"Sub Mission on Agricultural Mechanization (SMAM): 50% subsidy for small/marginal/women farmers, 40% for others + top-up subsidy (higher top-up for small/marginal/women farmers)"
Agriculture and Farmer Welfare,Kudimaramath Scheme – Tank Desiltation
Agriculture and Farmer Welfare,KAVIADP
Agriculture and Farmer Welfare,Drylands selected based on criteria – EB/Solar power backup
Agriculture and Farmer Welfare,Cluster borewell – 10+ beneficiaries; crop-specific are only grown in the fields- 100% subsidy
Agriculture and Farmer Welfare,SC/ST farmer with minimum area of at least 1 acre – 100% subsidy for borewell
Agriculture and Farmer Welfare,Creation of farm pond
Agriculture and Farmer Welfare,Desilting of tanks that belong to rural development department in regular cycles
Agriculture and Farmer Welfare,Recharge structures in drylands
Agriculture and Farmer Welfare,Canal desilting (Channels C & D) – irrigation/Drainage channels – 3 years once
Horticulture,"PMKSY – Water harvesting structures only for horticulture crops, Drip and Sprinkler instrumentation on fields less than 5 ha."
Horticulture,"Oil Palm Cultivation: 30,000 hectares/year under National Edible Oil Mission (NEOM-OP)"
Horticulture,Gender and smallholder preferences in subsidy schemes
Horticulture,Coconut Area Expansion
Horticulture,"Agroforestry: Seedlings of native trees – Teak, Pungan, Kumil"
Horticulture,Sensitization Programs on reducing crop damage – mainly in response to the short-medium range forecasts issued by IMD
Health and Family Welfare,Health scheme
MAWS,MAWS scheme
Rural Development,RD scheme
Water Resources,WRD scheme
Public Works,PWD scheme
Irrigation,Irrigation scheme
Energy/TNEB,EB scheme
Transport,Transport scheme
Fisheries,Fisheries scheme
Animal Husbandry,Kalnadai scheme
Social Welfare,Child marriage abolition
Social Welfare,Marriage help fund
Social Welfare,Awareness on social concerns
Social Welfare,Widow remarriage
Social Welfare,Anganwadi operation
Environment and Climate Change,ECC scheme
Forest,Forest scheme
Housing and Urban Development,HUD scheme
Disaster Management,DM scheme
HR&CE,Temple scheme
