climate_risk,climate_strategy,intervention
Heat Waves,Cooling solutions,Cool roof solutions
Heat Waves,Cooling solutions,Increase in public shelters and shaded areas
Drought/ Severe water stress,Reduce groundwater extraction,"Promotion of drip and sprinkler irrigation, and fertigation"
Drought/ Severe water stress,Reduced energy use intensity in agriculture sector,Promotion of energy-efficient water pumps and solar water pumps
Drought/ Severe water stress,Increase groundwater recharge,Bunding/ Stone Bunding of agricultural fields to check run-offs and soil erosion
Drought/ Severe water stress,Increase groundwater recharge,Ecoblocs for groundwater recharge
Drought/ Severe water stress,Irrigation and pipelines,Improving access to irrigation through canal construction
Drought/ Severe water stress,Irrigation and pipelines,Installation of drinking water pipelines
Land slide,Afforestation,Native species plantation
Land slide,Reduce soil erosion and run-off,Bunding/ Stone Bunding of agricultural fields to check run-offs and soil erosion
Agri and horti risks,Soil conservation,Promotion and expansion of Soil-health card scheme
Agri and horti risks,Soil conservation,Encourage in situ management of agricultural waste through promotion of organic mulching and conservation farming
Agri and horti risks,Soil conservation,"Adoption of Climate-Smart Agriculture (CSA) practices including scientific crop rotation, inter-cropping, and other such improved crop farming practices"
Agri and horti risks,Soil conservation,Promotion of agro-forestry in blocks that are most affected by soil erosion
Agri and horti risks,Promoting agro-biodiversity of farming systems,Improved local production and distribution of improved seed varieties through village seed banks
Agri and horti risks,Promoting agro-biodiversity of farming systems,"Promotion of Integrated nutrient and pest management, through biological control (agro-biodiversity)"
Agri and horti risks,Promoting agro-biodiversity of farming systems,Promotion of agro-forestry in vulnerable blocks
Agri and horti risks,Improved agricultural practices,Piloting Zero-Budget Natural Farming (ZBNF) in select clusters across the district
Agri and horti risks,Improved agricultural practices,Promotion of precision farming for horticulture crops
Agri and horti risks,Agriculture extension services,"Promote increased use of mobile apps such as Krishi Gyan (by ICAR) that serve as a source of crop and weather advisories, information on best farming practices, information on government programmes, etc."
Agri and horti risks,Mitigating climate risks for farmers,"Expand areas under crop insurance, particularly for horticulture crops and among woman farmers"
Agri and horti risks,Mitigating climate risks for farmers,Promotion of climate-resilient varieties of crops
Agri and horti risks,Mitigating climate risks for farmers,Adoption of Integrated Crop-Livestock systems
Agri and horti risks,Improved market linkages,Enhance access to the market for local horticulture crops
Ecosystem degradation,Afforestation,Native species plantation
Ecosystem degradation,Afforestation,Mangrove plantation/nurseries
Cyclone,Reduce exposure to cyclone impacts,Construction of cyclone shelters
Cyclone,Reduce exposure to cyclone impacts,Bioshield plantation activities
Flooding,Reduce exposure to flooding,Underground ecobloc network for flood mitigation
Flooding,Reduce exposure to flooding,Construction of stormwater drains
Flooding,Reduce exposure to flooding,"Desilting of drains, canals, lakes, ponds, etc."
Air pollution,Reduce sources of air pollution through burning of agri waste,Encourage in situ management of agricultural waste through promotion of organic mulching and conservation farming
Air pollution,Promote clean transport,Deployment of electric vehicles for public usage
Livestock risks,Livestock resilience,Capacity building programs for improved livestock management practices
Livestock risks,Livestock resilience,Encourage adoption of stress-tolerant indigenous breeds of livestock
Livestock risks,Livestock resilience,UID tagging and registration of locally available cattle
Livestock risks,Livestock resilience,"Awareness programmes for mass vaccination of livestock, deworming, etc."
Livestock risks,Livestock resilience,Adoption of stray cattle among the local rearers and care services for cattle
Livestock risks,Livestock resilience,Increasing the number of gau sevaks and mobile veterinary units
Livestock risks,Livestock resilience,Promotion of village level fodder banks; Availability of chaff cutters and shalage making
Livestock risks,Livestock resilience,Creation of cattle sheds in government land through MGNREGS
Livestock risks,Livestock resilience,Climate-proofing of cattle sheds and animal sheds through design modifications
Livelihood risks,Livelihood diversification,"Promotion of backyard gardens and kitchen gardens in private farmlands, anganwadi centres, public schools, etc."
Livelihood risks,Livelihood diversification,Promote fodder conservation through hay production and also through the addition of enriched wheat straw to cattle feed
Livelihood risks,Livelihood diversification,"Promote medicinal plants, galactogogue plants (plants that can naturally enhance milk production in livestock), herbs, and other horticulture crops"
Livelihood risks,Value addition,"Drying/chips-making, etc."
Livelihood risks,Value addition,Powdering/dessication
Livelihood risks,Value addition,Pickling
Others,Solid Waste Management,Clearing of waste dumped in public spots
Others,Solid Waste Management,Waste to wealth initiatives
Others,Others,Adoption of Integrated Crop-Livestock systems
Others,Others,"Promote local ownership and operation of farm machineries for crop residue management (such as happy seeder and super seeder) through incentives to local small and medium firms and/or through support to collective ownership of these assets"
