category,item
Social,"Improves Public Health (e.g., vector control, sanitation)"
Social,Generates Employment (e.g., NREGA person-days)
Social,Empowers Women/SHGs
Social,Enhances Food Security
Economic,Increases Crop Yield / Productivity
Economic,Protects Assets from Damage (Flood/Cyclone)
Economic,Diversifies Income Sources
Economic,Reduces Maintenance Costs
Environmental,Recharges Groundwater
Environmental,Enhances Biodiversity / Green Cover
Environmental,Improves Soil Health
Environmental,Reduces Pollution (Air/Water)
Mitigation,Sequesters Carbon (e.g., plantation)
Mitigation,"Reduces GHG Emissions (e.g., solar, efficiency)"
Mitigation,Promotes Renewable Energy
Avoided Losses,Reduced Fatalities / Mortalities
Avoided Losses,Reduced Property Damage
Avoided Losses,Reduced Damage to Public Infrastructure
Avoided Losses,Reduced Crop Loss
